Assessment,Trial,Cycle,Location,Statistic,Value
GY,NRPN,1997,Hettinger,Replications,3
GY,NRPN,1997,Hettinger,Mean,4097
GY,NRPN,1997,Hettinger,LSD(0.05),805
GY,NRPN,1997,Hettinger,CV,12
GY,NRPN,1997,Williston,Replications,4
GY,NRPN,1997,Williston,Mean,1561
GY,NRPN,1997,Williston,LSD(0.05),194
GY,NRPN,1997,Williston,CV,8.8
GY,NRPN,1997,Archer,Replications,3
GY,NRPN,1997,Archer,Mean,2465
GY,NRPN,1997,Archer,LSD(0.05),645
GY,NRPN,1997,Archer,CV,16
GY,NRPN,1997,Moccasin,Replications,3
GY,NRPN,1997,Moccasin,Mean,4874
GY,NRPN,1997,Moccasin,LSD(0.05),1029
GY,NRPN,1997,Moccasin,CV,12.9
GY,NRPN,1997,Bozeman,Replications,3
GY,NRPN,1997,Bozeman,Mean,5351
GY,NRPN,1997,Bozeman,LSD(0.05),944
GY,NRPN,1997,Bozeman,CV,10.8
GY,NRPN,1997,Loma,Replications,4
GY,NRPN,1997,Loma,Mean,3157
GY,NRPN,1997,Loma,LSD(0.05),543
GY,NRPN,1997,Loma,CV,12.2
GY,NRPN,1997,Lethbridge,Replications,4
GY,NRPN,1997,Lethbridge,Mean,3812
GY,NRPN,1997,Lethbridge,LSD(0.05),584
GY,NRPN,1997,Lethbridge,CV,10.9
GY,NRPN,1997,Ames,Replications,2
GY,NRPN,1997,Ames,Mean,NA
GY,NRPN,1997,Ames,LSD(0.05),NA
GY,NRPN,1997,Ames,CV,NA
GY,NRPN,1997,Lind,Replications,4
GY,NRPN,1997,Lind,Mean,4556
GY,NRPN,1997,Lind,LSD(0.05),978
GY,NRPN,1997,Lind,CV,15.3
GY,SRPN,1996,Clovis (Irr),Replications,3
GY,SRPN,1996,Clovis (Irr),Mean,2178
GY,SRPN,1996,Clovis (Irr),LSD(0.05),NA
GY,SRPN,1996,Clovis (Irr),CV,24.5
GY,SRPN,1996,Clovis (Dry),Replications,3
GY,SRPN,1996,Clovis (Dry),Mean,1529
GY,SRPN,1996,Clovis (Dry),LSD(0.05),NA
GY,SRPN,1996,Clovis (Dry),CV,29.4
GY,SRPN,1996,Farmington,Replications,4
GY,SRPN,1996,Farmington,Mean,5922
GY,SRPN,1996,Farmington,LSD(0.05),1138
GY,SRPN,1996,Farmington,CV,13.7
GY,SRPN,1996,Bushland (Irr),Replications,3
GY,SRPN,1996,Bushland (Irr),Mean,4926
GY,SRPN,1996,Bushland (Irr),LSD(0.05),432
GY,SRPN,1996,Bushland (Irr),CV,5.4
GY,SRPN,1996,Bushland (Dry),Replications,3
GY,SRPN,1996,Bushland (Dry),Mean,687
GY,SRPN,1996,Bushland (Dry),LSD(0.05),278
GY,SRPN,1996,Bushland (Dry),CV,24.8
GY,SRPN,1996,Chillicothe,Replications,3
GY,SRPN,1996,Chillicothe,Mean,2989
GY,SRPN,1996,Chillicothe,LSD(0.05),1024
GY,SRPN,1996,Chillicothe,CV,21
GY,SRPN,1996,Prosper,Replications,3
GY,SRPN,1996,Prosper,Mean,4583
GY,SRPN,1996,Prosper,LSD(0.05),593
GY,SRPN,1996,Prosper,CV,7.9
GY,SRPN,1996,Stillwater,Replications,3
GY,SRPN,1996,Stillwater,Mean,2264
GY,SRPN,1996,Stillwater,LSD(0.05),306
GY,SRPN,1996,Stillwater,CV,8.3
GY,SRPN,1996,Lahoma,Replications,3
GY,SRPN,1996,Lahoma,Mean,3153
GY,SRPN,1996,Lahoma,LSD(0.05),537
GY,SRPN,1996,Lahoma,CV,10.4
GY,SRPN,1996,Goodwell (Irr),Replications,3
GY,SRPN,1996,Goodwell (Irr),Mean,5820
GY,SRPN,1996,Goodwell (Irr),LSD(0.05),558
GY,SRPN,1996,Goodwell (Irr),CV,5.9
GY,SRPN,1996,Hutchinson,Replications,3
GY,SRPN,1996,Hutchinson,Mean,3530
GY,SRPN,1996,Hutchinson,LSD(0.05),417
GY,SRPN,1996,Hutchinson,CV,7.2
GY,SRPN,1996,Hays,Replications,3
GY,SRPN,1996,Hays,Mean,2596
GY,SRPN,1996,Hays,LSD(0.05),530
GY,SRPN,1996,Hays,CV,12.5
GY,SRPN,1996,Manhattan,Replications,3
GY,SRPN,1996,Manhattan,Mean,4600
GY,SRPN,1996,Manhattan,LSD(0.05),624
GY,SRPN,1996,Manhattan,CV,8.3
GY,SRPN,1996,Colby,Replications,3
GY,SRPN,1996,Colby,Mean,2370
GY,SRPN,1996,Colby,LSD(0.05),449
GY,SRPN,1996,Colby,CV,11.6
GY,SRPN,1996,Garden City,Replications,3
GY,SRPN,1996,Garden City,Mean,NA
GY,SRPN,1996,Garden City,LSD(0.05),NA
GY,SRPN,1996,Garden City,CV,NA
GY,SRPN,1996,Wichita,Replications,3
GY,SRPN,1996,Wichita,Mean,3735
GY,SRPN,1996,Wichita,LSD(0.05),675
GY,SRPN,1996,Wichita,CV,8.9
GY,SRPN,1996,Winfield,Replications,3
GY,SRPN,1996,Winfield,Mean,2818
GY,SRPN,1996,Winfield,LSD(0.05),445
GY,SRPN,1996,Winfield,CV,9.7
GY,SRPN,1996,Hugoton (Irr),Replications,4
GY,SRPN,1996,Hugoton (Irr),Mean,5514
GY,SRPN,1996,Hugoton (Irr),LSD(0.05),973
GY,SRPN,1996,Hugoton (Irr),CV,12.6
GY,SRPN,1996,Fort Collins,Replications,3
GY,SRPN,1996,Fort Collins,Mean,3770
GY,SRPN,1996,Fort Collins,LSD(0.05),827
GY,SRPN,1996,Fort Collins,CV,13.4
GY,SRPN,1996,Akron,Replications,3
GY,SRPN,1996,Akron,Mean,4764
GY,SRPN,1996,Akron,LSD(0.05),811
GY,SRPN,1996,Akron,CV,10.4
GY,SRPN,1996,Burlington,Replications,3
GY,SRPN,1996,Burlington,Mean,2101
GY,SRPN,1996,Burlington,LSD(0.05),695
GY,SRPN,1996,Burlington,CV,20.3
GY,SRPN,1996,Sidney,Replications,3
GY,SRPN,1996,Sidney,Mean,3976
GY,SRPN,1996,Sidney,LSD(0.05),932
GY,SRPN,1996,Sidney,CV,14.3
GY,SRPN,1996,Hemingford,Replications,3
GY,SRPN,1996,Hemingford,Mean,3911
GY,SRPN,1996,Hemingford,LSD(0.05),594
GY,SRPN,1996,Hemingford,CV,9.3
GY,SRPN,1996,Imperial (Irr),Replications,3
GY,SRPN,1996,Imperial (Irr),Mean,5600
GY,SRPN,1996,Imperial (Irr),LSD(0.05),767
GY,SRPN,1996,Imperial (Irr),CV,8.4
GY,SRPN,1996,Pierre,Replications,3
GY,SRPN,1996,Pierre,Mean,2271
GY,SRPN,1996,Pierre,LSD(0.05),1057
GY,SRPN,1996,Pierre,CV,28.5
GY,SRPN,1996,Brookings,Replications,3
GY,SRPN,1996,Brookings,Mean,NA
GY,SRPN,1996,Brookings,LSD(0.05),NA
GY,SRPN,1996,Brookings,CV,NA
GY,SRPN,1996,Columbia,Replications,3
GY,SRPN,1996,Columbia,Mean,445
GY,SRPN,1996,Columbia,LSD(0.05),491
GY,SRPN,1996,Columbia,CV,67.9
GY,SRPN,1996,Bozeman,Replications,1
GY,SRPN,1996,Bozeman,Mean,5222
GY,SRPN,1996,Bozeman,LSD(0.05),NA
GY,SRPN,1996,Bozeman,CV,NA
GY,SRPN,1996,Crawfordsville,Replications,2
GY,SRPN,1996,Crawfordsville,Mean,NA
GY,SRPN,1996,Crawfordsville,LSD(0.05),NA
GY,SRPN,1996,Crawfordsville,CV,NA
GY,SRPN,1997,Clovis (Irr),Replications,3
GY,SRPN,1997,Clovis (Irr),Mean,4361
GY,SRPN,1997,Clovis (Irr),LSD(0.05),781
GY,SRPN,1997,Clovis (Irr),CV,11
GY,SRPN,1997,Clovis (Dry),Replications,3
GY,SRPN,1997,Clovis (Dry),Mean,3178
GY,SRPN,1997,Clovis (Dry),LSD(0.05),NA
GY,SRPN,1997,Clovis (Dry),CV,17.7
GY,SRPN,1997,Farmington,Replications,4
GY,SRPN,1997,Farmington,Mean,6204
GY,SRPN,1997,Farmington,LSD(0.05),1861
GY,SRPN,1997,Farmington,CV,21.4
GY,SRPN,1997,Bushland (Irr),Replications,3
GY,SRPN,1997,Bushland (Irr),Mean,4075
GY,SRPN,1997,Bushland (Irr),LSD(0.05),488
GY,SRPN,1997,Bushland (Irr),CV,7.3
GY,SRPN,1997,Bushland (Dry),Replications,3
GY,SRPN,1997,Bushland (Dry),Mean,2319
GY,SRPN,1997,Bushland (Dry),LSD(0.05),393
GY,SRPN,1997,Bushland (Dry),CV,10.4
GY,SRPN,1997,Chillicothe,Replications,3
GY,SRPN,1997,Chillicothe,Mean,2264
GY,SRPN,1997,Chillicothe,LSD(0.05),721
GY,SRPN,1997,Chillicothe,CV,19.5
GY,SRPN,1997,Prosper,Replications,3
GY,SRPN,1997,Prosper,Mean,3758
GY,SRPN,1997,Prosper,LSD(0.05),677
GY,SRPN,1997,Prosper,CV,11
GY,SRPN,1997,Stillwater,Replications,3
GY,SRPN,1997,Stillwater,Mean,3247
GY,SRPN,1997,Stillwater,LSD(0.05),700
GY,SRPN,1997,Stillwater,CV,13.2
GY,SRPN,1997,Altus,Replications,3
GY,SRPN,1997,Altus,Mean,3318
GY,SRPN,1997,Altus,LSD(0.05),657
GY,SRPN,1997,Altus,CV,12.1
GY,SRPN,1997,Lahoma,Replications,3
GY,SRPN,1997,Lahoma,Mean,3945
GY,SRPN,1997,Lahoma,LSD(0.05),520
GY,SRPN,1997,Lahoma,CV,8.1
GY,SRPN,1997,Goodwell,Replications,3
GY,SRPN,1997,Goodwell,Mean,3991
GY,SRPN,1997,Goodwell,LSD(0.05),578
GY,SRPN,1997,Goodwell,CV,8.9
GY,SRPN,1997,Hutchinson,Replications,3
GY,SRPN,1997,Hutchinson,Mean,3379
GY,SRPN,1997,Hutchinson,LSD(0.05),391
GY,SRPN,1997,Hutchinson,CV,7.1
GY,SRPN,1997,Hays,Replications,2
GY,SRPN,1997,Hays,Mean,3535
GY,SRPN,1997,Hays,LSD(0.05),692
GY,SRPN,1997,Hays,CV,9.7
GY,SRPN,1997,Manhattan,Replications,3
GY,SRPN,1997,Manhattan,Mean,4698
GY,SRPN,1997,Manhattan,LSD(0.05),799
GY,SRPN,1997,Manhattan,CV,10.4
GY,SRPN,1997,Colby,Replications,3
GY,SRPN,1997,Colby,Mean,3566
GY,SRPN,1997,Colby,LSD(0.05),484
GY,SRPN,1997,Colby,CV,8.3
GY,SRPN,1997,Garden City,Replications,3
GY,SRPN,1997,Garden City,Mean,2772
GY,SRPN,1997,Garden City,LSD(0.05),474
GY,SRPN,1997,Garden City,CV,10.5
GY,SRPN,1997,WichitaI,Replications,2
GY,SRPN,1997,WichitaI,Mean,4006
GY,SRPN,1997,WichitaI,LSD(0.05),954
GY,SRPN,1997,WichitaI,CV,11.8
GY,SRPN,1997,Winfield,Replications,3
GY,SRPN,1997,Winfield,Mean,3783
GY,SRPN,1997,Winfield,LSD(0.05),805
GY,SRPN,1997,Winfield,CV,13
GY,SRPN,1997,WichitaII,Replications,3
GY,SRPN,1997,WichitaII,Mean,3302
GY,SRPN,1997,WichitaII,LSD(0.05),722
GY,SRPN,1997,WichitaII,CV,13.4
GY,SRPN,1997,Salina,Replications,3
GY,SRPN,1997,Salina,Mean,5817
GY,SRPN,1997,Salina,LSD(0.05),588
GY,SRPN,1997,Salina,CV,6.2
GY,SRPN,1997,Fort Collins,Replications,2
GY,SRPN,1997,Fort Collins,Mean,6052
GY,SRPN,1997,Fort Collins,LSD(0.05),1330
GY,SRPN,1997,Fort Collins,CV,10.9
GY,SRPN,1997,Akron,Replications,3
GY,SRPN,1997,Akron,Mean,2400
GY,SRPN,1997,Akron,LSD(0.05),593
GY,SRPN,1997,Akron,CV,15.2
GY,SRPN,1997,Julesburg,Replications,3
GY,SRPN,1997,Julesburg,Mean,2844
GY,SRPN,1997,Julesburg,LSD(0.05),540
GY,SRPN,1997,Julesburg,CV,11.7
GY,SRPN,1997,Walsh,Replications,3
GY,SRPN,1997,Walsh,Mean,3795
GY,SRPN,1997,Walsh,LSD(0.05),NA
GY,SRPN,1997,Walsh,CV,13.6
GY,SRPN,1997,Burlington,Replications,3
GY,SRPN,1997,Burlington,Mean,483
GY,SRPN,1997,Burlington,LSD(0.05),329
GY,SRPN,1997,Burlington,CV,41.9
GY,SRPN,1997,Lincoln,Replications,3
GY,SRPN,1997,Lincoln,Mean,2852
GY,SRPN,1997,Lincoln,LSD(0.05),611
GY,SRPN,1997,Lincoln,CV,13.1
GY,SRPN,1997,Clay Center,Replications,3
GY,SRPN,1997,Clay Center,Mean,1796
GY,SRPN,1997,Clay Center,LSD(0.05),923
GY,SRPN,1997,Clay Center,CV,31.5
GY,SRPN,1997,North Platte,Replications,3
GY,SRPN,1997,North Platte,Mean,3759
GY,SRPN,1997,North Platte,LSD(0.05),599
GY,SRPN,1997,North Platte,CV,9.8
GY,SRPN,1997,Sidney,Replications,3
GY,SRPN,1997,Sidney,Mean,2277
GY,SRPN,1997,Sidney,LSD(0.05),545
GY,SRPN,1997,Sidney,CV,14.7
GY,SRPN,1997,Hemingford,Replications,3
GY,SRPN,1997,Hemingford,Mean,2661
GY,SRPN,1997,Hemingford,LSD(0.05),NA
GY,SRPN,1997,Hemingford,CV,18.4
GY,SRPN,1997,Pierre,Replications,3
GY,SRPN,1997,Pierre,Mean,2500
GY,SRPN,1997,Pierre,LSD(0.05),1372
GY,SRPN,1997,Pierre,CV,33.6
GY,SRPN,1997,Winner,Replications,3
GY,SRPN,1997,Winner,Mean,1077
GY,SRPN,1997,Winner,LSD(0.05),787
GY,SRPN,1997,Winner,CV,44.8
GY,SRPN,1997,Brookings,Replications,3
GY,SRPN,1997,Brookings,Mean,5087
GY,SRPN,1997,Brookings,LSD(0.05),721
GY,SRPN,1997,Brookings,CV,8.7
GY,SRPN,1997,Columbia,Replications,3
GY,SRPN,1997,Columbia,Mean,3103
GY,SRPN,1997,Columbia,LSD(0.05),593
GY,SRPN,1997,Columbia,CV,11.7
GY,SRPN,1997,Lind,Replications,4
GY,SRPN,1997,Lind,Mean,4245
GY,SRPN,1997,Lind,LSD(0.05),773
GY,SRPN,1997,Lind,CV,13
GY,SRPN,1997,Bozeman,Replications,1
GY,SRPN,1997,Bozeman,Mean,5817
GY,SRPN,1997,Bozeman,LSD(0.05),NA
GY,SRPN,1997,Bozeman,CV,NA
GY,SRPN,1997,Crawfordsville,Replications,2
GY,SRPN,1997,Crawfordsville,Mean,3369
GY,SRPN,1997,Crawfordsville,LSD(0.05),516
GY,SRPN,1997,Crawfordsville,CV,7.6
GY,NRPN,1998,Lincoln,Replications,3
GY,NRPN,1998,North Platte,Mean,4568
GY,NRPN,1998,North Platte,LSD(0.05),840
GY,NRPN,1998,North Platte,CV,11.3
GY,NRPN,1998,North Platte,Replications,3
GY,NRPN,1998,North Platte,Mean,3918
GY,NRPN,1998,North Platte,LSD(0.05),997
GY,NRPN,1998,North Platte,CV,15.6
GY,NRPN,1998,Sidney,Replications,3
GY,NRPN,1998,Sidney,Mean,4513
GY,NRPN,1998,Sidney,LSD(0.05),750
GY,NRPN,1998,Sidney,CV,10.2
GY,NRPN,1998,Alliance,Replications,3
GY,NRPN,1998,Alliance,Mean,4901
GY,NRPN,1998,Alliance,LSD(0.05),1132
GY,NRPN,1998,Alliance,CV,14.2
GY,NRPN,1998,Brookings,Replications,3
GY,NRPN,1998,Brookings,Mean,4799
GY,NRPN,1998,Brookings,LSD(0.05),476
GY,NRPN,1998,Brookings,CV,6.1
GY,NRPN,1998,Dakota Lakes,Replications,3
GY,NRPN,1998,Dakota Lakes,Mean,5133
GY,NRPN,1998,Dakota Lakes,LSD(0.05),851
GY,NRPN,1998,Dakota Lakes,CV,10.2
GY,NRPN,1998,Winner,Replications,3
GY,NRPN,1998,Winner,Mean,2487
GY,NRPN,1998,Winner,LSD(0.05),585
GY,NRPN,1998,Winner,CV,14.4
GY,NRPN,1998,Hettinger,Replications,3
GY,NRPN,1998,Hettinger,Mean,4452
GY,NRPN,1998,Hettinger,LSD(0.05),584
GY,NRPN,1998,Hettinger,CV,8
GY,NRPN,1998,Williston,Replications,4
GY,NRPN,1998,Williston,Mean,3289
GY,NRPN,1998,Williston,LSD(0.05),300
GY,NRPN,1998,Williston,CV,6.4
GY,NRPN,1998,Archer,Replications,3
GY,NRPN,1998,Archer,Mean,2489
GY,NRPN,1998,Archer,LSD(0.05),464
GY,NRPN,1998,Archer,CV,11.4
GY,NRPN,1998,Billings,Replications,4
GY,NRPN,1998,Billings,Mean,6037
GY,NRPN,1998,Billings,LSD(0.05),1011
GY,NRPN,1998,Billings,CV,11.8
GY,NRPN,1998,Moccasin,Replications,3
GY,NRPN,1998,Moccasin,Mean,4418
GY,NRPN,1998,Moccasin,LSD(0.05),525
GY,NRPN,1998,Moccasin,CV,7.3
GY,NRPN,1998,Bozeman,Replications,3
GY,NRPN,1998,Bozeman,Mean,7606
GY,NRPN,1998,Bozeman,LSD(0.05),470
GY,NRPN,1998,Bozeman,CV,3.8
GY,NRPN,1998,Rosemount,Replications,3
GY,NRPN,1998,Rosemount,Mean,4667
GY,NRPN,1998,Rosemount,LSD(0.05),720
GY,NRPN,1998,Rosemount,CV,9.4
GY,NRPN,1998,Waseca,Replications,3
GY,NRPN,1998,Waseca,Mean,2941
GY,NRPN,1998,Waseca,LSD(0.05),570
GY,NRPN,1998,Waseca,CV,11.9
GY,NRPN,1998,Lethbridge,Replications,4
GY,NRPN,1998,Lethbridge,Mean,3409
GY,NRPN,1998,Lethbridge,LSD(0.05),1050
GY,NRPN,1998,Lethbridge,CV,15.5
GY,NRPN,1998,Lind,Replications,4
GY,NRPN,1998,Lind,Mean,4603
GY,NRPN,1998,Lind,LSD(0.05),728
GY,NRPN,1998,Lind,CV,11.2
GY,SRPN,1998,Clovis (Dry),Replications,4
GY,SRPN,1998,Clovis (Dry),Mean,2063
GY,SRPN,1998,Clovis (Dry),LSD(0.05),NA
GY,SRPN,1998,Clovis (Dry),CV,28.3
GY,SRPN,1998,Clovis (Dry),Replications,4
GY,SRPN,1998,Clovis (Dry),Mean,76
GY,SRPN,1998,Clovis (Dry),LSD(0.05),NA
GY,SRPN,1998,Clovis (Dry),CV,1.8
GY,SRPN,1998,Clovis (Dry),Replications,4
GY,SRPN,1998,Clovis (Dry),Mean,60
GY,SRPN,1998,Clovis (Dry),LSD(0.05),9
GY,SRPN,1998,Clovis (Dry),CV,7.1
GY,SRPN,1998,Clovis (Dry),Replications,4
GY,SRPN,1998,Clovis (Dry),Mean,141
GY,SRPN,1998,Clovis (Dry),LSD(0.05),2
GY,SRPN,1998,Clovis (Dry),CV,4.1
GY,SRPN,1998,Clovis (Irr),Replications,4
GY,SRPN,1998,Clovis (Irr),Mean,3263
GY,SRPN,1998,Clovis (Irr),LSD(0.05),625
GY,SRPN,1998,Clovis (Irr),CV,12.6
 TW,SRPN,1998,Clovis (Irr),Replications,4
 TW,SRPN,1998,Clovis (Irr),Mean,74
 TW,SRPN,1998,Clovis (Irr),LSD(0.05),1.7
 TW,SRPN,1998,Clovis (Irr),CV,1.6
 HT,SRPN,1998,Clovis (Irr),Replications,4
 HT,SRPN,1998,Clovis (Irr),Mean,95
 HT,SRPN,1998,Clovis (Irr),LSD(0.05),8
 HT,SRPN,1998,Clovis (Irr),CV,6.5
 HD,SRPN,1998,Clovis (Irr),Replications,4
 HD,SRPN,1998,Clovis (Irr),Mean,138
 HD,SRPN,1998,Clovis (Irr),LSD(0.05),4
 HD,SRPN,1998,Clovis (Irr),CV,1.9
GY,SRPN,1998,Farmington,Replications,4
GY,SRPN,1998,Farmington,Mean,7794
GY,SRPN,1998,Farmington,LSD(0.05),1315
GY,SRPN,1998,Farmington,CV,12
GY,SRPN,1998,McGregor,Replications,4
GY,SRPN,1998,McGregor,Mean,2762
GY,SRPN,1998,McGregor,LSD(0.05),811
GY,SRPN,1998,McGregor,CV,20.9
GY,SRPN,1998,Bushland (Dry),Replications,3
GY,SRPN,1998,Bushland (Dry),Mean,2468
GY,SRPN,1998,Bushland (Dry),LSD(0.05),-0.05
GY,SRPN,1998,Bushland (Dry),CV,10.9
 TW,SRPN,1998,Bushland (Dry),Replications,3
 TW,SRPN,1998,Bushland (Dry),Mean,74.5
 TW,SRPN,1998,Bushland (Dry),LSD(0.05),438
 TW,SRPN,1998,Bushland (Dry),CV,4.3
 HT,SRPN,1998,Bushland (Dry),Replications,3
 HT,SRPN,1998,Bushland (Dry),Mean,68
 HT,SRPN,1998,Bushland (Dry),LSD(0.05),5
 HT,SRPN,1998,Bushland (Dry),CV,0.4
 HD,SRPN,1998,Bushland (Dry),Replications,3
 HD,SRPN,1998,Bushland (Dry),Mean,125
 HD,SRPN,1998,Bushland (Dry),LSD(0.05),1
GY,SRPN,1998,Bushland (Irr),Replications,3
GY,SRPN,1998,Bushland (Irr),Mean,5378
GY,SRPN,1998,Bushland (Irr),LSD(0.05),769
GY,SRPN,1998,Bushland (Irr),CV,8.8
 TW,SRPN,1998,Bushland (Irr),Replications,3
 TW,SRPN,1998,Bushland (Irr),Mean,78.4
 TW,SRPN,1998,Bushland (Irr),LSD(0.05),3
 TW,SRPN,1998,Bushland (Irr),CV,4.4
 HT,SRPN,1998,Bushland (Irr),Replications,3
 HT,SRPN,1998,Bushland (Irr),Mean,96
 HT,SRPN,1998,Bushland (Irr),LSD(0.05),1
 HT,SRPN,1998,Bushland (Irr),CV,1.3
GY,SRPN,1998,Chillicothe,Replications,3
GY,SRPN,1998,Chillicothe,Mean,3719
GY,SRPN,1998,Chillicothe,LSD(0.05),712.85
GY,SRPN,1998,Chillicothe,CV,11.8
GY,SRPN,1998,Altus,Replications,3
GY,SRPN,1998,Altus,Mean,3069
GY,SRPN,1998,Altus,LSD(0.05),342
GY,SRPN,1998,Altus,CV,6.9
GY,SRPN,1998,Goodwell,Replications,3
GY,SRPN,1998,Goodwell,Mean,6043
GY,SRPN,1998,Goodwell,LSD(0.05),609
GY,SRPN,1998,Goodwell,CV,6.2
GY,SRPN,1998,Lahoma,Replications,3
GY,SRPN,1998,Lahoma,Mean,4328
GY,SRPN,1998,Lahoma,LSD(0.05),493
GY,SRPN,1998,Lahoma,CV,7.1
GY,SRPN,1998,Stillwater,Replications,3
GY,SRPN,1998,Stillwater,Mean,3735
GY,SRPN,1998,Stillwater,LSD(0.05),578
GY,SRPN,1998,Stillwater,CV,9.5
GY,SRPN,1998,Colby,Replications,3
GY,SRPN,1998,Colby,Mean,5230
GY,SRPN,1998,Colby,LSD(0.05),402
GY,SRPN,1998,Colby,CV,4.73
GY,SRPN,1998,Garden City,Replications,3
GY,SRPN,1998,Garden City,Mean,2614
GY,SRPN,1998,Garden City,LSD(0.05),443
GY,SRPN,1998,Garden City,CV,10.4
 TW,SRPN,1998,Garden City,Replications,3
 TW,SRPN,1998,Garden City,Mean,77.8
 TW,SRPN,1998,Garden City,LSD(0.05),1.3
 TW,SRPN,1998,Garden City,CV,1
 HT,SRPN,1998,Garden City,Replications,3
 HT,SRPN,1998,Garden City,Mean,80
 HT,SRPN,1998,Garden City,LSD(0.05),6
 HT,SRPN,1998,Garden City,CV,4.4
 HD,SRPN,1998,Garden City,Replications,3
 HD,SRPN,1998,Garden City,Mean,169
 HD,SRPN,1998,Garden City,LSD(0.05),1
 HD,SRPN,1998,Garden City,CV,0.5
GY,SRPN,1998,Hays,Replications,3
GY,SRPN,1998,Hays,Mean,4947
GY,SRPN,1998,Hays,LSD(0.05),350
GY,SRPN,1998,Hays,CV,4.4
GY,SRPN,1998,Hutchinson,Replications,3
GY,SRPN,1998,Hutchinson,Mean,2559
