"","row","col","yield"
"199",2,10,110
"200",1,10,119
"201",20,11,157
"202",19,11,164
"203",18,11,194
"204",17,11,109
"205",16,11,116
"206",15,11,143
"207",14,11,159
"208",13,11,171
"209",12,11,158
"210",11,11,167
"211",10,11,131
"212",9,11,187
"213",8,11,124
"214",7,11,98
"215",6,11,140
"216",5,11,139
"217",4,11,158
"218",3,11,160
"219",2,11,154
"220",1,11,96
"221",20,12,147
"222",19,12,123
"223",18,12,148
"224",17,12,169
"225",16,12,87
"226",15,12,132
"227",14,12,164
"228",13,12,186
"229",12,12,174
"230",11,12,131
"231",10,12,179
"232",9,12,169
"233",8,12,156
"234",7,12,136
"235",6,12,137
"236",5,12,174
"237",4,12,103
"238",3,12,138
"239",2,12,176
"240",1,12,80
"241",20,13,176
"242",19,13,165
"243",18,13,162
"244",17,13,128
"245",16,13,123
"246",15,13,126
"247",14,13,160
"248",13,13,196
"249",12,13,191
"250",11,13,203
"251",10,13,201
"252",9,13,155
"253",8,13,138
"254",7,13,115
"255",6,13,138
"256",5,13,167
"257",4,13,119
"258",3,13,191
"259",2,13,168
"260",1,13,97
"261",20,14,126
"262",19,14,203
"263",18,14,146
"264",17,14,152
"265",16,14,143
"266",15,14,171
"267",14,14,122
"268",13,14,175
"269",12,14,134
"270",11,14,231
"271",10,14,122
"272",9,14,107
"273",8,14,101
"274",7,14,168
"275",6,14,194
"276",5,14,175
"277",4,14,164
"278",3,14,133
"279",2,14,175
"280",1,14,98
"281",20,15,175
"282",19,15,156
"283",18,15,174
"284",17,15,165
"285",16,15,130
"286",15,15,176
"287",14,15,175
"288",13,15,189
"289",12,15,188
"290",11,15,214
"291",10,15,207
"292",9,15,143
"293",8,15,138
"294",7,15,130
"295",6,15,109
"296",5,15,179
"297",4,15,112
"298",3,15,160
"299",2,15,175
"300",1,15,106
"301",20,16,134
"302",19,16,182
"303",18,16,185
"304",17,16,139
"305",16,16,119
"306",15,16,115
"307",14,16,156
"308",13,16,214
"309",12,16,248
"310",11,16,177
"311",10,16,189
"312",9,16,145
"313",8,16,141
"314",7,16,111
"315",6,16,120
"316",5,16,172
"317",4,16,57
"318",3,16,156
"319",2,16,146
"320",1,16,107
"321",20,17,169
"322",19,17,164
"323",18,17,171
"324",17,17,146
"325",16,17,141
"326",15,17,165
"327",14,17,119
"328",13,17,169
"329",12,17,164
"330",11,17,161
"331",10,17,164
"332",9,17,190
"333",8,17,143
"334",7,17,136
"335",6,17,124
"336",5,17,174
"337",4,17,94
"338",3,17,122
"339",2,17,148
"340",1,17,69
"341",20,18,189
"342",19,18,176
"343",18,18,181
"344",17,18,144
"345",16,18,174
"346",15,18,147
"347",14,18,135
"348",13,18,166
"349",12,18,206
"350",11,18,194
"351",10,18,131
"352",9,18,176
"353",8,18,135
"354",7,18,129
"355",6,18,126
"356",5,18,167
"357",4,18,106
"358",3,18,111
"359",2,18,167
"360",1,18,86
"361",20,19,180
"362",19,19,176
"363",18,19,158
"364",17,19,178
"365",16,19,157
"366",15,19,186
"367",14,19,116
"368",13,19,164
"369",12,19,185
"370",11,19,141
"371",10,19,211
"372",9,19,162
"373",8,19,163
"374",7,19,122
"375",6,19,126
"376",5,19,142
"377",4,19,132
"378",3,19,153
"379",2,19,106
"380",1,19,94
"381",20,20,128
"382",19,20,150
"383",18,20,147
"384",17,20,188
"385",16,20,168
"386",15,20,157
"387",14,20,134
"388",13,20,195
"389",12,20,192
"390",11,20,161
"391",10,20,172
"392",9,20,123
"393",8,20,183
"394",7,20,120
"395",6,20,147
"396",5,20,169
"397",4,20,122
"398",3,20,148
"399",2,20,123
"400",1,20,129
