row,whitenoise,randomwalk,autoregressive,movingaverage,trenderror,index
32,0.699429525,-3.613741645,1.328551247,0.530266655,-5.879043249,32
33,-0.706436682,-4.320178327,0.356404315,-0.146893062,-7.378933773,33
34,-0.465150945,-4.785329272,-0.180027493,-1.030300291,-7.223954437,34
35,-1.76619861,-6.551527882,-1.910220604,-2.138319366,-8.603550289,35
36,0.189288596,-6.362239286,-1.338887888,-1.223670292,-6.718823255,36
37,-0.366180676,-6.728419962,-1.437290986,-0.214749799,-7.337245158,37
38,1.057601178,-5.670818785,-0.092231611,0.764656637,-5.968598917,38
39,-0.741621462,-6.412440247,-0.815406751,0.10445948,-7.815140504,39
40,-1.348359053,-7.760799299,-2.000684453,-1.941656222,-8.461390334,40
41,-0.517306432,-8.278105731,-2.117853995,-1.595993674,-7.662062584,41
42,1.411735702,-6.866370029,-0.282547494,0.997890556,-5.756986453,42
43,0.185465028,-6.680905002,-0.040572967,1.314853589,-6.9995017,43
44,-0.043691443,-6.724596445,-0.076149817,0.104680579,-7.237227466,44
45,-0.215913375,-6.94050982,-0.276833229,-0.250866529,-7.410398061,45
46,1.463775346,-5.476734473,1.242308763,1.291044646,-5.724100281,46
47,0.229666637,-5.247067836,1.223513648,1.400686914,-6.944113173,47
48,0.107623634,-5.139444202,1.086434553,0.291356944,-7.044652382,48
49,-1.378102559,-6.517546761,-0.508954917,-1.292003651,-8.501553191,49
50,-0.968182883,-7.485729644,-1.375346816,-2.07066493,-8.055580303,50
51,0.25171138,-7.234018264,-0.848566073,-0.522834926,-6.79250592,51
52,-1.094693697,-8.328711961,-1.773546556,-0.893324593,-8.088711821,52
53,0.397642845,-7.931069116,-1.0211944,-0.478112113,-6.539271609,53
54,-0.996302004,-8.92737112,-1.813257524,-0.678187728,-7.869329345,54
55,0.100578012,-8.826793108,-1.350028007,-0.696463591,-6.701906087,55
56,0.953680281,-7.873112827,-0.126342124,1.034142691,-5.771737804,56
57,-1.790322935,-9.663435762,-1.891396634,-1.02737871,-8.432291411,57
58,0.311701216,-9.351734546,-1.201416092,-1.120557132,-6.24057883,58
59,2.553988007,-6.797746539,1.592855133,2.803348979,-3.902514935,59
60,-0.860837756,-7.658584295,0.413446351,1.182352649,-7.215630217,60
61,0.543928442,-7.114655854,0.874685522,-0.144741763,-5.703380391,61
62,-0.392338036,-7.50699389,0.307410381,0.042804717,-6.526555025,62
63,1.235441898,-6.271551992,1.481370203,0.921571469,-4.780244449,63
64,1.196086439,-5.075465552,2.381182602,2.184439958,-4.695804144,64
65,-0.495746901,-5.571212453,1.409199181,0.46112225,-6.258754315,65
66,-0.294341221,-5.865553675,0.833018123,-0.690938742,-5.923559588,66
67,-0.573497483,-6.439051157,0.092917016,-0.80897046,-6.064206049,67
68,1.619208728,-4.819842429,1.693542341,1.160410742,-3.728457775,68
69,-0.956927673,-5.776770103,0.397906199,0.338439309,-6.157211491,69
70,0.04123712,-5.735532983,0.359562079,-0.724305019,-5.007517952,70
71,-1.498310443,-7.233843426,-1.21066078,-1.465320748,-6.391587974,71
72,0.660959156,-6.57288427,-0.307569468,-0.537689198,-4.073091782,72
73,0.285457621,-6.287426649,0.039402047,0.814224946,-4.285819674,73
74,1.388866294,-4.898560355,1.420387931,1.61723239,-3.016294339,74
75,-0.159343605,-5.057903961,0.97696674,0.95174943,-4.395250403,75
76,-0.460918903,-5.518822864,0.320654489,-0.588393787,-4.524642124,76
77,0.168438071,-5.350384792,0.424961662,-0.200297051,-3.720380628,77
78,1.395493023,-3.954891769,1.735462353,1.53024348,-2.31591015,78
79,0.728426261,-3.226465508,2.116796143,1.84482068,-2.803261242,79
80,0.335089949,-2.891375559,2.028526864,0.917830958,-3.014793297,80
81,1.169276492,-1.722099067,2.792097983,1.437348452,-1.996925942,81
82,0.247966825,-1.474132242,2.481645211,1.183388018,-2.732890525,82
83,-0.358149472,-1.832281715,1.627166697,-0.159776013,-3.152209778,83
84,1.383493324,-0.44878839,2.685226681,1.096973746,-1.222530098,84
85,0.412069167,-0.036719224,2.560250512,1.518863826,-2.004889234,85
86,-0.123007862,-0.159727086,1.925192547,0.206647471,-2.350084167,86
87,-0.066229312,-0.225956398,1.473924726,-0.164635602,-2.102816649,87
88,-2.322490877,-2.548447275,-1.143351097,-2.375474327,-4.168191492,88
89,-1.045656501,-3.594103776,-1.960337378,-2.903649203,-2.700280449,89
90,2.057875024,-1.536228753,0.489605121,1.221349823,0.594311407,90
91,1.971532375,0.435303622,2.363216472,3.617832394,0.698808226,91
92,-1.920995197,-1.485691574,-0.030422019,-0.343769297,-3.003303294,92
93,0.46212607,-1.023565504,0.437788455,-1.074670087,-0.430389747,93
94,-0.160724064,-1.184289568,0.1895067,0.208976793,-0.864269306,94
95,-0.104211532,-1.2885011,0.047393828,-0.232790783,-0.619803194,95
96,0.467839401,-0.820661699,0.505754464,0.384470176,0.1389919,96
97,0.443920815,-0.376740883,0.848524386,0.818192336,0.300418719,97
98,0.828552808,0.451811925,1.507372317,1.183689461,0.868811338,98
99,-0.387050122,0.064761803,0.818847732,0.275792124,-0.164798236,99
100,2.018938163,2.083699965,2.674016348,1.709298065,2.421237403,100
101,-1.369412215,0.71428775,0.769800863,0.245738315,-0.789186375,101
102,0.163016839,0.877304589,0.778857529,-0.932512933,0.918877972,102
103,-0.113226176,0.764078412,0.509859847,0.017187295,0.815812817,103
104,0.859755286,1.623833699,1.267643164,0.769174345,1.95935323,104
105,0.128665461,1.75249916,1.142779992,0.81646969,1.396046837,105
106,0.192971247,1.945470407,1.107195241,0.295903616,1.625209023,106
107,0.389657184,2.335127591,1.275413377,0.544034182,1.983678128,107
108,-2.227541815,0.107585776,-1.207211114,-1.915816068,-0.474951593,108
109,1.026734741,1.134320517,0.06096585,-0.755298711,2.934545451,109
110,1.203450635,2.337771153,1.252223316,2.024838428,3.263004128,110
111,0.750493033,3.088264186,1.752271686,1.713253541,2.958188896,111
112,-0.289319384,2.798944802,1.112497965,0.311075043,2.062802158,112
113,-0.227463924,2.571480878,0.662534448,-0.458919431,2.265256979,113
114,-0.130446585,2.441034293,0.399580973,-0.312417724,2.498944609,114
115,1.814587591,4.255621884,2.134252369,1.710230323,4.576624353,115
116,-0.494015396,3.761606488,1.213386499,0.957654676,2.396553877,116
117,0.287679316,4.049285803,1.258388515,-0.107533001,3.30258725,117
118,-1.495697096,2.553588707,-0.488986284,-1.265553644,1.639282626,118
119,1.622407119,4.175995826,1.231218091,0.425849441,4.873126719,119
120,0.236420673,4.412416498,1.221395146,1.534346368,3.598491414,120
121,0.569163826,4.981580325,1.546279943,0.758300365,4.03814858,121
122,-0.322235143,4.659345182,0.914788811,0.133095918,3.249186758,122
123,0.458237628,5.11758281,1.190068677,0.200449513,4.127588956,123
124,1.067853238,6.185436048,2.01990818,1.43444334,4.830604518,124
125,0.324487586,6.509923634,1.94041413,1.178770176,4.176096912,125
126,-0.672156277,5.837767356,0.880175026,-0.412566209,3.263766307,126
127,-0.833657317,5.004110039,-0.129517296,-1.371382339,3.182040625,127
128,-1.333842483,3.670267556,-1.43745632,-2.000768337,2.757109797,128
129,0.223205492,3.893473048,-0.926759564,-0.843868495,4.384918185,129
130,-0.675618781,3.217854266,-1.417026433,-0.497054388,3.552397934,130
131,-0.510796484,2.707057782,-1.64441763,-1.051291509,3.779116057,131
132,0.794888904,3.501946686,-0.520645201,0.386251717,5.142348151,132
133,1.039261305,4.541207991,0.622745144,1.675172428,5.439988324,133
134,0.180999677,4.722207668,0.679195793,1.012408721,4.630797049,134
135,-0.007310785,4.714896883,0.536045849,0.137488957,4.487452582,135
136,-0.513714128,4.201182755,-0.084877448,-0.519562756,4.022015718,136
137,1.119292302,5.320475057,1.051390343,0.708321,5.692105947,137
138,-1.483866981,3.836608076,-0.642754707,-0.58843314,3.122276839,138
139,-1.390726274,2.445881802,-1.904930039,-2.577819859,3.245135596,139
140,0.096884354,2.542766157,-1.427059677,-1.015696665,4.759006313,140
141,0.257317944,2.800084101,-0.884329797,0.334825428,4.942409083,141
142,0.491551992,3.291636094,-0.215911845,0.697406348,5.196501563,142
143,-0.813337515,2.478298578,-0.986066991,-0.420095921,3.908553236,143
144,0.897149909,3.375448488,0.108296316,0.246479897,5.633271643,144
145,-1.182632671,2.192815817,-1.095995618,-0.464912743,3.565230676,145
146,-0.353124972,1.839690845,-1.229921467,-1.299231109,4.404225451,146
147,1.223271425,3.06296227,0.239334252,0.940771448,5.988103444,147
148,1.702865417,4.765827687,1.894332819,2.681482558,6.473437055,148
149,0.033334321,4.799162008,1.548800576,1.395626655,4.808181772,149
150,0.711190971,5.51035298,1.950231432,0.737858428,5.489143495,150
151,-0.952468528,4.557884452,0.607716618,-0.383515751,3.827726509,151
152,0.797390477,5.355274928,1.283563771,0.035415654,5.579288984,152
153,0.101081797,5.456356725,1.127932814,0.738994178,4.88448381,153
154,1.336414127,6.792770852,2.238760378,1.417279564,6.121474541,154
155,-0.028812796,6.763958056,1.762195507,1.040318506,4.758431784,155
156,-1.821022203,4.942935853,-0.411265798,-1.84407244,2.9693194,156
157,-0.998549257,3.944386596,-1.327561896,-2.45536702,3.796205774,157
158,0.310164259,4.254550854,-0.751885258,-0.488675147,5.111069344,158
159,0.131071044,4.385621899,-0.470437162,0.379202451,4.940299927,159
160,-1.078914186,3.306707713,-1.455263916,-0.974057351,3.741266472,160
161,0.18591148,3.492619193,-0.978299653,-0.677219869,5.020143472,161
162,0.924195234,4.416814427,0.141555512,1.072924418,5.776067262,162
163,1.996543008,6.413357435,2.109787418,2.735899196,6.870150703,163
164,-0.297923328,6.115434107,1.389906606,1.299311078,4.602040606,164
165,-0.430959839,5.684474268,0.680965446,-0.669298501,4.500524082,165
166,-0.305919851,5.378554416,0.238852505,-0.650687722,4.662809432,166
167,0.408446672,5.787001088,0.599528676,0.163710791,5.420727002,167
168,0.464037508,6.251038597,0.943660449,0.790794846,5.526773777,168
169,-0.625418094,5.625620502,0.129510265,-0.254188088,4.495297338,169
170,0.003103026,5.628723528,0.106711238,-0.49723145,5.189958525,170
171,0.361749811,5.990473339,0.447118801,0.364232232,5.62356353,171
172,-0.766652943,5.223820395,-0.408957903,-0.477253095,4.579614186,172
173,-0.177416054,5.046404342,-0.504582376,-0.790738408,5.263496732,173
174,-0.816866597,4.229537745,-1.220532497,-0.95879944,4.729601382,174
175,-1.300500167,2.929037578,-2.276926164,-1.953993444,4.363170294,175
176,-1.198805664,1.730231914,-3.020346596,-2.239205798,4.594473002,176
177,1.904816708,3.635048623,-0.511460568,0.945772177,7.840888642,177
178,1.223177961,4.858226583,0.814009506,2.747031327,7.316028691,178
179,0.231788802,5.090015385,0.882996407,1.21033117,6.496225678,179
180,-0.186643928,4.903371457,0.519753197,-0.001212887,6.265029834,180
181,1.68401329,6.587384747,2.099815848,1.534698147,8.339439866,181
182,1.027014374,7.614399121,2.706867052,2.374225006,7.903596899,182
183,1.496261664,9.110660784,3.661755305,2.317873163,8.612312721,183
184,1.112340422,10.22300121,4.041744666,2.309349753,8.487104509,184
185,0.501794686,10.72479589,3.735190419,1.391667024,8.155470898,185
186,0.04847066,10.77326655,3.036622996,0.449906409,8.002235604,186
187,-0.519874015,10.25339254,1.909424382,-0.481097486,7.756156908,187
188,0.822582472,11.07597501,2.350121977,0.40668326,9.444080618,188
189,1.10228334,12.17825835,2.982380921,1.760349317,10.09349753,189
190,-0.391176,11.78708235,1.994728737,0.490650672,8.99507443,190
191,-0.361594964,11.42548739,1.234188026,-0.674535764,9.4461073,191
192,-1.161967978,10.26351941,-0.174617557,-1.451243949,9.094721359,192
193,-0.711416377,9.552103032,-0.851110422,-1.640990759,10.02293938,193
194,0.348970916,9.901073948,-0.331917422,-0.220162185,11.59084126,194
195,0.427366448,10.3284404,0.161832511,0.706543181,12.20779325,195
196,1.660847068,11.98928746,1.790313076,2.002740226,14.01209106,196
197,0.581613456,12.57090092,2.013863917,1.91029111,13.53717959,197
198,0.143465503,12.71436642,1.754556636,0.608756268,13.73812852,198
199,0.343303079,13.0576695,1.746948388,0.458075481,14.61313332,199
200,-0.931491222,12.12617828,0.466067488,-0.656848759,14.05089823,200
