Trial	Treatment	RepNo	ColNo	Plot.Mean	SmyCol	StyCol	StyTreatment	CritCol	CritTrtNo	IsMinMax
EVT16B4	8	1	NA	4442	1	1	8	1	8	0
EVT16B4	9	1	NA	5781	1	1	9	1	9	0
EVT16B5	1	1	NA	4380	1	1	1	1	1	0
EVT16B5	2	1	NA	5201	1	1	2	1	2	0
EVT16B5	3	1	NA	4178	1	1	3	1	3	0
EVT16B5	4	1	NA	5672	1	1	4	1	4	0
EVT16B5	5	1	NA	5414	1	1	5	1	5	0
EVT16B5	6	1	NA	5591	1	1	6	1	6	0
EVT16B5	7	1	NA	4277	1	1	7	1	7	0
EVT16B5	8	1	NA	4476	1	1	8	1	8	0
EVT16B5	9	1	NA	5407	1	1	9	1	9	0
EVT16B6	1	1	NA	6437	1	1	1	1	1	0
EVT16B6	2	1	NA	6036	1	1	2	1	2	0
EVT16B6	3	1	NA	6459	1	1	3	1	3	0
EVT16B6	4	1	NA	6678	1	1	4	1	4	0
EVT16B6	5	1	NA	6882	1	1	5	1	5	0
EVT16B6	6	1	NA	6916	1	1	6	1	6	0
EVT16B6	7	1	NA	6745	1	1	7	1	7	0
EVT16B6	8	1	NA	4986	1	1	8	1	8	0
EVT16B6	9	1	NA	5610	1	1	9	1	9	0
EVT16B8	1	1	NA	6011	1	1	1	1	1	0
EVT16B8	2	1	NA	5278	1	1	2	1	2	0
EVT16B8	3	1	NA	4731	1	1	3	1	3	0
EVT16B8	4	1	NA	2516	1	1	4	1	4	0
EVT16B8	5	1	NA	2732	1	1	5	1	5	0
EVT16B8	6	1	NA	2983	1	1	6	1	6	0
EVT16B8	7	1	NA	4206	1	1	7	1	7	0
EVT16B8	8	1	NA	4484	1	1	8	1	8	0
EVT16B8	9	1	NA	3309	1	1	9	1	9	0
EVT16B9	1	1	NA	4647	1	1	1	1	1	0
EVT16B9	2	1	NA	4714	1	1	2	1	2	0
EVT16B9	3	1	NA	5448	1	1	3	1	3	0
EVT16B9	4	1	NA	4864	1	1	4	1	4	0
EVT16B9	5	1	NA	5588	1	1	5	1	5	0
EVT16B9	6	1	NA	5603	1	1	6	1	6	0
EVT16B9	7	1	NA	4318	1	1	7	1	7	0
EVT16B9	8	1	NA	4001	1	1	8	1	8	0
EVT16B9	9	1	NA	5553	1	1	9	1	9	0
EVT16B11	1	1	NA	4433	1	1	1	1	1	0
EVT16B11	2	1	NA	4349	1	1	2	1	2	0
EVT16B11	3	1	NA	4526	1	1	3	1	3	0
EVT16B11	4	1	NA	7117	1	1	4	1	4	0
EVT16B11	5	1	NA	5995	1	1	5	1	5	0
EVT16B11	6	1	NA	6150	1	1	6	1	6	0
EVT16B11	7	1	NA	5052	1	1	7	1	7	0
EVT16B11	8	1	NA	3713	1	1	8	1	8	0
EVT16B11	9	1	NA	6430	1	1	9	1	9	0
EVT16B12	1	1	NA	6873	1	1	1	1	1	0
EVT16B12	2	1	NA	7571	1	1	2	1	2	0
EVT16B12	3	1	NA	7727	1	1	3	1	3	0
EVT16B12	4	1	NA	8385	1	1	4	1	4	0
EVT16B12	5	1	NA	8106	1	1	5	1	5	0
EVT16B12	6	1	NA	7637	1	1	6	1	6	0
EVT16B12	7	1	NA	7444	1	1	7	1	7	0
EVT16B12	8	1	NA	5816	1	1	8	1	8	0
EVT16B12	9	1	NA	8091	1	1	9	1	9	0
EVT16B13	1	1	NA	6721	1	1	1	1	1	0
EVT16B13	2	1	NA	5627	1	1	2	1	2	0
EVT16B13	3	1	NA	6294	1	1	3	1	3	0
EVT16B13	4	1	NA	7332	1	1	4	1	4	0
EVT16B13	5	1	NA	7174	1	1	5	1	5	0
EVT16B13	6	1	NA	7262	1	1	6	1	6	0
EVT16B13	7	1	NA	5544	1	1	7	1	7	0
EVT16B13	8	1	NA	4117	1	1	8	1	8	0
EVT16B13	9	1	NA	6920	1	1	9	1	9	0
EVT16B14	1	1	NA	5849	1	1	1	1	1	0
EVT16B14	2	1	NA	5932	1	1	2	1	2	0
EVT16B14	3	1	NA	5886	1	1	3	1	3	0
EVT16B14	4	1	NA	6439	1	1	4	1	4	0
EVT16B14	5	1	NA	6359	1	1	5	1	5	0
EVT16B14	6	1	NA	6380	1	1	6	1	6	0
EVT16B14	7	1	NA	5820	1	1	7	1	7	0
EVT16B14	8	1	NA	5522	1	1	8	1	8	0
EVT16B14	9	1	NA	6282	1	1	9	1	9	0
EVT16B15	1	1	NA	4601	1	1	1	1	1	0
EVT16B15	2	1	NA	4126	1	1	2	1	2	0
EVT16B15	3	1	NA	4537	1	1	3	1	3	0
EVT16B15	4	1	NA	6331	1	1	4	1	4	0
EVT16B15	5	1	NA	6328	1	1	5	1	5	0
EVT16B15	6	1	NA	5961	1	1	6	1	6	0
EVT16B15	7	1	NA	4346	1	1	7	1	7	0
EVT16B15	8	1	NA	4321	1	1	8	1	8	0
EVT16B15	9	1	NA	4889	1	1	9	1	9	0
EVT16B16	1	1	NA	5010	1	1	1	1	1	0
EVT16B16	2	1	NA	5196	1	1	2	1	2	0
EVT16B16	3	1	NA	5455	1	1	3	1	3	0
EVT16B16	4	1	NA	6351	1	1	4	1	4	0
EVT16B16	5	1	NA	6070	1	1	5	1	5	0
EVT16B16	6	1	NA	5730	1	1	6	1	6	0
EVT16B16	7	1	NA	5013	1	1	7	1	7	0
EVT16B16	8	1	NA	4551	1	1	8	1	8	0
EVT16B16	9	1	NA	5278	1	1	9	1	9	0
EVT16B17	1	1	NA	4415	1	1	1	1	1	0
EVT16B17	2	1	NA	4211	1	1	2	1	2	0
EVT16B17	3	1	NA	4749	1	1	3	1	3	0
EVT16B17	4	1	NA	5161	1	1	4	1	4	0
EVT16B17	5	1	NA	5454	1	1	5	1	5	0
EVT16B17	6	1	NA	5807	1	1	6	1	6	0
EVT16B17	7	1	NA	3862	1	1	7	1	7	0
EVT16B17	8	1	NA	5243	1	1	8	1	8	0
EVT16B17	9	1	NA	4989	1	1	9	1	9	0
EVT16B18	1	1	NA	3344	1	1	1	1	1	0
EVT16B18	2	1	NA	4415	1	1	2	1	2	0
EVT16B18	3	1	NA	4295	1	1	3	1	3	0
EVT16B18	4	1	NA	5618	1	1	4	1	4	0
EVT16B18	5	1	NA	4498	1	1	5	1	5	0
EVT16B18	6	1	NA	5333	1	1	6	1	6	0
EVT16B18	7	1	NA	5276	1	1	7	1	7	0
EVT16B18	8	1	NA	2940	1	1	8	1	8	0
EVT16B18	9	1	NA	5244	1	1	9	1	9	0
EVT16B20	1	1	NA	4587	1	1	1	1	1	0
EVT16B20	2	1	NA	4396	1	1	2	1	2	0
EVT16B20	3	1	NA	5018	1	1	3	1	3	0
EVT16B20	4	1	NA	4988	1	1	4	1	4	0
EVT16B20	5	1	NA	5776	1	1	5	1	5	0
EVT16B20	6	1	NA	5088	1	1	6	1	6	0
EVT16B20	7	1	NA	4056	1	1	7	1	7	0
EVT16B20	8	1	NA	4806	1	1	8	1	8	0
EVT16B20	9	1	NA	4822	1	1	9	1	9	0
